EEG file,Fp1-AVE,Fp2-AVE,F3-AVE,F4-AVE,C3-AVE,C4-AVE,P3-AVE,P4-AVE,O1-AVE,O2-AVE,F7-AVE,F8-AVE,T3-AVE,T4-AVE,T5-AVE,T6-AVE,Fz-AVE,Cz-AVE,Pz-AVE
25 (Q2),-1.5775863e-06,-1.782674e-06,1.1876452e-07,-5.661598e-08,1.8450754e-07,1.8678277e-07,6.583217e-07,5.5548765e-07,1.1288246e-06,1.2065595e-06,1.9564402e-07,-3.390055e-07,1.77105e-07,1.0519853e-09,6.2230265e-07,3.7798696e-07,-2.7699564e-08,4.9537266e-07,6.521976e-07
25 (Q-10%),4.1148185e-05,4.5935867e-05,1.7571843e-05,1.6196134e-05,1.3986239e-05,1.4193121e-05,1.5476477e-05,1.6029398e-05,2.4001742e-05,2.6336464e-05,4.7292615e-05,5.0740247e-05,2.3196073e-05,2.558005e-05,1.9205205e-05,2.006719e-05,1.1580303e-05,1.303891e-05,1.480339e-05
25 (Mean),-6.5632466e-10,-8.092097e-10,5.17644e-10,8.8262936e-10,6.768117e-10,3.7176556e-10,2.8731398e-10,4.803315e-10,1.7507408e-09,-4.248228e-09,-2.0413828e-10,4.0070263e-09,-1.6240394e-10,9.4180955e-11,4.3567017e-10,-2.1271471e-09,9.3023034e-10,-2.0241884e-09,-2.0266616e-10
25 (Std),4.703104e-05,5.303951e-05,1.638839e-05,1.4423658e-05,1.3270018e-05,1.4594826e-05,2.360446e-05,1.6711903e-05,3.364282e-05,2.698405e-05,4.7914018e-05,5.013052e-05,2.3248387e-05,2.4175672e-05,2.0558533e-05,1.8982662e-05,1.0288176e-05,1.2042701e-05,1.4224935e-05
26 (Max),0.0006906808,0.0056647044,0.00041869562,0.00038916324,0.00041716584,0.00040136528,0.0004247354,0.00040582253,0.0004865837,0.00270171,0.00042716606,0.0004384783,0.00041844792,0.00040967288,0.00064255117,0.000418554,0.00040527768,0.00041111393,0.00044013685
26 (Min),-0.0004753035,-0.007381544,-0.00046050755,-0.0003833153,-0.00031225756,-0.00031080891,-0.00030104554,-0.00031113598,-0.0004803828,-0.0019453638,-0.00035559924,-0.00033640207,-0.00033463,-0.00030563417,-0.00039145345,-0.000297036,-0.00031006557,-0.0002990762,-0.00030017897
26 (Q-90%),-2.769368e-05,-3.656666e-05,-1.6643831e-05,-1.575504e-05,-1.3682808e-05,-1.4217399e-05,-1.4024929e-05,-1.4944763e-05,-2.2463346e-05,-3.1642743e-05,-3.5759625e-05,-2.8196662e-05,-2.1938427e-05,-1.8263483e-05,-1.8830273e-05,-1.843885e-05,-1.1068897e-05,-1.3141772e-05,-1.3931497e-05
26 (Q2),-7.032993e-07,-8.10154e-07,-1.8486523e-07,3.993056e-09,-3.1144354e-10,1.06516865e-07,2.334844e-07,3.374725e-07,1.2950112e-07,4.810436e-08,8.3203076e-08,1.0544019e-07,2.6454438e-07,2.5734803e-07,-3.8842753e-08,-1.4442337e-07,7.1151504e-08,2.4872588e-07,2.59421e-07
26 (Q-10%),2.605852e-05,3.406591e-05,1.6775732e-05,1.5677648e-05,1.3643994e-05,1.4043203e-05,1.36878525e-05,1.443892e-05,2.1732822e-05,2.8418499e-05,3.5296394e-05,2.8146165e-05,2.1469648e-05,1.799746e-05,1.8727893e-05,1.8407374e-05,1.1220792e-05,1.3186855e-05,1.3666826e-05
26 (Mean),3.2331672e-11,-2.3198148e-09,4.9410582e-09,-3.6358758e-09,9.286655e-10,-5.548705e-09,1.1146949e-09,6.214873e-10,8.9246566e-10,2.254073e-09,2.0385575e-09,1.3011378e-09,-2.1650717e-09,-1.4838241e-09,-2.0986264e-10,1.3117346e-09,-3.2231648e-10,-1.9969506e-09,2.2461604e-09
26 (Std),3.3052158e-05,0.0001905453,1.8504095e-05,1.6985334e-05,1.5362213e-05,1.7571921e-05,1.586174e-05,1.6247612e-05,2.6290576e-05,6.8221634e-05,3.1891763e-05,2.6321115e-05,2.0885653e-05,1.8725983e-05,2.7106502e-05,1.9891744e-05,1.4197189e-05,1.6181555e-05,1.6708638e-05
27 (Max),0.00020331015,0.0002211602,0.000119806755,0.00013624673,0.00024876354,0.00032471732,5.7786026e-05,0.0001968915,0.0001294996,5.772991e-05,0.00015312046,0.00021416627,9.7598284e-05,0.00022749911,5.6146015e-05,5.9217804e-05,0.00016673535,6.784828e-05,4.378206e-05
27 (Min),-0.00027305484,-0.00024067775,-0.00011785256,-0.00013597118,-0.00015114789,-0.0003488215,-5.443186e-05,-0.00014280326,-8.187705e-05,-5.8212863e-05,-0.00015907703,-0.000183583,-0.0002027962,-0.00028326316,-6.599003e-05,-9.273978e-05,-8.0582686e-05,-4.7200865e-05,-6.355255e-05
27 (Q-90%),-1.8935461e-05,-2.281875e-05,-1.0218164e-05,-1.0447818e-05,-7.3410947e-06,-7.367836e-06,-7.771167e-06,-7.50175e-06,-1.172119e-05,-1.0274959e-05,-1.5843634e-05,-1.44106525e-05,-9.092796e-06,-9.601526e-06,-8.866618e-06,-1.1439438e-05,-7.6509195e-06,-7.016027e-06,-7.813961e-06
27 (Q2),-4.904266e-08,1.3505439e-07,1.2029466e-07,2.4096698e-07,-1.8896776e-08,2.470156e-09,-3.9712294e-08,-3.424753e-08,-1.8625586e-09,-8.8823235e-08,2.8643157e-07,8.50484e-08,7.528705e-08,5.4547634e-08,6.3546777e-09,5.0700947e-08,1.7496995e-07,-2.1127168e-08,-8.093362e-08
27 (Q-10%),1.6937662e-05,1.952252e-05,9.849858e-06,1.00873085e-05,7.479369e-06,7.511278e-06,7.937494e-06,7.674676e-06,1.14577515e-05,1.0527665e-05,1.4887575e-05,1.45950835e-05,9.206634e-06,9.848431e-06,8.988161e-06,1.1326191e-05,7.775945e-06,7.067842e-06,8.099225e-06
27 (Mean),-1.9619406e-09,3.086915e-09,-3.645899e-09,3.311424e-09,-2.386518e-09,1.9112978e-09,-1.1284842e-09,1.3723536e-09,-7.052777e-10,6.438536e-10,-6.8425345e-09,6.764208e-09,-3.0604261e-09,1.7377972e-09,-1.5865693e-09,-3.295056e-10,1.387731e-09,2.1428155e-10,1.2172685e-09
27 (Std),2.186449e-05,2.4612664e-05,9.243907e-06,9.5624355e-06,7.159112e-06,8.0291165e-06,7.2411144e-06,7.255768e-06,1.1268543e-05,9.154972e-06,1.810333e-05,1.6424452e-05,8.509174e-06,9.632848e-06,8.211185e-06,9.903224e-06,7.1453123e-06,5.8209357e-06,7.093732e-06
28 (Max),0.00019398895,0.0002020562,0.00010961218,0.0023090409,0.00045231538,0.00067023275,0.00011678761,7.3178395e-05,0.00025160745,0.00011188617,0.00023076692,0.001023673,0.00023921193,0.00019429013,0.00013295027,0.0004181614,9.136941e-05,9.136724e-05,9.8958226e-05
28 (Min),-0.00018583631,-0.00017821616,-0.00011861542,-0.00024407949,-0.00026055425,-0.00029102364,-0.000116870804,-0.00015186709,-0.00034185417,-0.00021389975,-0.00024624792,-0.0014020725,-0.00015741246,-0.00015765426,-0.0001095679,-0.00029171965,-0.00011785889,-0.0001154055,-0.0001306267
28 (Q-90%),-2.6300093e-05,-2.6298794e-05,-1.8590408e-05,-2.1003272e-05,-1.268156e-05,-1.7164311e-05,-1.5180937e-05,-1.5626347e-05,-1.7340555e-05,-1.6173819e-05,-2.9791536e-05,-2.9895995e-05,-1.9620007e-05,-1.9517067e-05,-1.4058847e-05,-1.8345254e-05,-1.839608e-05,-1.108045e-05,-1.567922e-05
28 (Q2),-3.1832684e-07,-2.0962145e-07,-2.4825044e-07,-4.5668622e-07,3.4781845e-08,-2.9604035e-07,-3.6004533e-07,-7.913761e-08,1.25451e-07,3.293387e-07,2.3821923e-07,3.1884227e-08,-3.2526646e-08,-2.0635306e-07,-1.1762545e-08,-1.949374e-07,-1.837083e-07,3.196814e-08,-3.271153e-07
28 (Q-10%),2.6667096e-05,2.7671387e-05,1.8921213e-05,2.1931863e-05,1.2595138e-05,1.6613267e-05,1.5848314e-05,1.5861713e-05,1.7110815e-05,1.605735e-05,2.9244831e-05,2.984971e-05,1.9134168e-05,1.9830688e-05,1.3821581e-05,1.6849674e-05,1.8228897e-05,1.0996987e-05,1.641793e-05
28 (Mean),1.459738e-09,3.1966236e-09,-3.542503e-09,1.7109768e-08,2.1028193e-09,1.4165694e-10,2.8089192e-10,3.4272187e-09,-9.106703e-09,-5.581416e-09,7.3109767e-09,-5.526515e-09,-1.090319e-08,-6.7119057e-09,-7.487985e-09,3.527538e-09,4.3258135e-09,8.121798e-09,-2.1445965e-09
28 (Std),2.4473116e-05,2.5999632e-05,1.5812284e-05,2.2256136e-05,1.5203418e-05,2.1061946e-05,1.2426004e-05,1.2458521e-05,2.0732507e-05,1.5246028e-05,2.7882304e-05,3.9112056e-05,1.7569268e-05,1.6886717e-05,1.2297807e-05,2.2343886e-05,1.4455292e-05,8.9398245e-06,1.2626695e-05
29 (Max),0.00013100817,0.00015195923,9.5715535e-05,0.00014996184,4.7499318e-05,0.0002938537,3.887229e-05,4.9012302e-05,8.0509606e-05,0.00012658544,0.00024797916,0.00018156657,0.000103788094,0.00012770656,5.93267e-05,0.00024162431,6.56644e-05,4.66845e-05,4.0250965e-05
29 (Min),-0.00010212232,-0.000111755515,-9.4873496e-05,-0.0001278138,-4.857055e-05,-8.414117e-05,-4.8368107e-05,-4.34628e-05,-8.580746e-05,-6.6327004e-05,-0.0002036211,-0.00021873013,-0.000117309115,-7.1761766e-05,-7.4552154e-05,-0.00014616859,-4.483508e-05,-3.5104353e-05,-4.480475e-05
