EEG file,Fp1-AVE,Fp2-AVE,F3-AVE,F4-AVE,C3-AVE,C4-AVE,P3-AVE,P4-AVE,O1-AVE,O2-AVE,F7-AVE,F8-AVE,T3-AVE,T4-AVE,T5-AVE,T6-AVE,Fz-AVE,Cz-AVE,Pz-AVE
19 (Q2),5.280851e-08,7.356039e-08,-1.5947836e-07,1.8449018e-07,6.22388e-08,-3.5993895e-07,1.0372125e-07,-2.8740718e-07,-2.3488683e-07,-5.2193326e-07,1.2875606e-07,3.7548477e-07,5.119927e-07,-1.3692096e-07,-3.0197657e-07,-9.391265e-08,-1.6988537e-08,2.4202868e-07,-1.3988276e-07
19 (Q-10%),1.6022412e-05,1.4441674e-05,1.3847028e-05,1.2506885e-05,1.406283e-05,1.34708e-05,1.2584108e-05,1.2556532e-05,1.3138377e-05,1.2695254e-05,1.4002474e-05,1.2920019e-05,1.3416581e-05,1.2763132e-05,1.2421416e-05,1.2643326e-05,1.2994544e-05,1.1425803e-05,1.2329932e-05
19 (Mean),-3.5057668e-09,1.7580618e-09,5.1056354e-08,3.8694008e-08,3.0634368e-08,-3.68695e-07,3.921038e-08,7.150106e-08,-1.2805246e-07,-1.0283387e-07,-5.1519827e-08,2.4505076e-07,3.7310375e-08,1.4016109e-07,-1.9556539e-09,4.907208e-08,-4.0111807e-08,5.553261e-08,-6.330665e-08
19 (Std),1.266496e-05,1.1716736e-05,1.13891065e-05,9.718601e-06,1.1151251e-05,1.1162377e-05,9.985651e-06,9.685164e-06,1.0386601e-05,1.0091997e-05,1.1843501e-05,1.0309551e-05,1.1088356e-05,9.328429e-06,9.709746e-06,9.634552e-06,1.05117115e-05,9.298862e-06,9.835122e-06
24 (Max),2.6256843e-05,3.596438e-05,2.7801221e-05,3.06095e-05,1.5889005e-05,4.0771658e-05,1.8571349e-05,2.5626268e-05,3.5542103e-05,4.5723355e-05,4.2236985e-05,2.9335135e-05,4.4039094e-05,4.2828382e-05,4.242678e-05,5.2393607e-05,4.0867646e-05,3.6352154e-05,2.3540066e-05
24 (Min),-4.1079184e-05,-3.5172976e-05,-3.5125693e-05,-4.1473915e-05,-3.613574e-05,-3.536923e-05,-3.3305136e-05,-2.6756752e-05,-2.6589723e-05,-3.0893796e-05,-3.327771e-05,-1.7925242e-05,-3.7768128e-05,-2.1386217e-05,-2.8761859e-05,-2.3930186e-05,-8.4801424e-05,-5.353762e-05,-3.385448e-05
24 (Q-90%),-1.2031654e-05,-9.718815e-06,-1.003022e-05,-7.906305e-06,-8.280268e-06,-1.5675054e-05,-8.410711e-06,-9.230608e-06,-1.131914e-05,-1.06062325e-05,-1.1506372e-05,-8.223942e-06,-8.351423e-06,-7.805496e-06,-1.00970765e-05,-1.0474305e-05,-1.03718285e-05,-8.292984e-06,-7.46243e-06
24 (Q2),-8.9700075e-07,-3.2236034e-07,-9.242874e-08,3.8851022e-07,-9.228994e-08,-1.4730439e-08,2.2917041e-07,1.10933115e-07,4.1708086e-07,-8.3364085e-08,-9.5276187e-07,4.732948e-08,-7.1676266e-07,3.7182866e-07,-8.488504e-08,-4.108781e-07,4.994262e-07,-1.1578436e-07,-2.4996987e-07
24 (Q-10%),1.0729619e-05,9.6934855e-06,9.63796e-06,9.079941e-06,7.3120514e-06,1.6118009e-05,7.1140307e-06,8.043316e-06,1.1010828e-05,1.2258191e-05,1.0331616e-05,1.0301469e-05,8.783323e-06,8.276875e-06,9.257147e-06,1.1397157e-05,1.254633e-05,7.686418e-06,7.4378554e-06
24 (Mean),-7.490188e-07,-6.021278e-08,-1.6366509e-07,2.5089628e-07,-4.0134842e-07,1.7819339e-07,-2.9248082e-07,-1.08655136e-07,1.4347037e-07,2.6406332e-07,-5.7370505e-07,7.018515e-07,8.681792e-08,6.620462e-07,2.4256713e-07,4.0580727e-07,1.9237397e-07,-4.7573258e-07,-3.032689e-07
24 (Std),9.2139235e-06,8.87624e-06,8.382277e-06,8.187323e-06,6.6217926e-06,1.2135201e-05,6.411435e-06,7.094423e-06,9.230048e-06,1.0272283e-05,9.114024e-06,7.281298e-06,7.891044e-06,7.6608485e-06,8.666712e-06,9.8188475e-06,1.1740548e-05,8.695831e-06,6.558945e-06
31 (Max),0.00022367701,0.00026883974,8.695045e-05,8.262569e-05,7.524931e-05,5.347765e-05,7.4583644e-05,5.3533335e-05,9.204451e-05,9.753228e-05,0.00019829761,0.00026506474,0.00014854367,0.00011882585,8.6309155e-05,7.7959405e-05,6.46251e-05,8.418502e-05,8.189899e-05
31 (Min),-0.00023891966,-0.00028728863,-0.000104575156,-0.0001147641,-6.107262e-05,-6.435364e-05,-6.538153e-05,-6.2954896e-05,-8.923748e-05,-7.003628e-05,-0.00017211834,-0.0002682721,-0.00010351133,-0.0001099684,-7.949333e-05,-8.171312e-05,-0.00010930824,-5.6551908e-05,-6.2061576e-05
31 (Q-90%),-3.5224315e-05,-5.1931696e-05,-2.4474422e-05,-2.4682302e-05,-2.1505228e-05,-1.4990241e-05,-1.9570949e-05,-1.2846845e-05,-2.2457321e-05,-2.0647345e-05,-6.7882705e-05,-9.193739e-05,-3.8997077e-05,-3.8551036e-05,-2.3006687e-05,-1.8018223e-05,-1.1337177e-05,-1.3712812e-05,-1.5646381e-05
31 (Q2),9.365429e-07,1.3970437e-06,-1.3718014e-07,1.1811378e-06,-5.02188e-07,3.146128e-07,-5.343779e-07,-7.213466e-08,-1.006289e-06,-3.2013534e-07,-5.37544e-07,-2.5547054e-06,-5.959849e-07,-2.8192648e-07,-7.251548e-07,2.16423e-07,4.5601604e-07,-8.438791e-07,-6.708973e-07
31 (Q-10%),3.63065e-05,5.1613566e-05,2.3851559e-05,2.4366173e-05,2.1000571e-05,1.4761865e-05,1.9989415e-05,1.2064082e-05,2.2456008e-05,1.8905528e-05,6.561504e-05,0.00010275602,3.742877e-05,3.881139e-05,2.3571693e-05,1.7391581e-05,1.2648005e-05,1.2873801e-05,1.4521516e-05
